prompt_id,input_tokens,output_tokens,runtime_seconds,energy_joules,tin_tout
1.0,7.0,57,4.915567636489868,857.3115,399.0
2.0,7.0,20,1.2597699165344238,257.9035,140.0
3.0,7.0,57,3.491804599761963,561.679,399.0
4.0,7.0,57,2.2159624099731445,457.988,399.0
5.0,12.0,62,3.457634925842285,636.779,744.0
6.0,7.0,33,0.856062650680542,130.227,231.0
7.0,13.0,62,3.0147595405578613,503.61300000000006,806.0
8.0,20.0,70,3.033989667892456,610.2420000000001,1400.0
9.0,9.0,59,3.5565288066864014,643.7885,531.0
10.0,9.0,20,1.327043533325195,267.9755,180.0
11.0,6.0,41,2.855391263961792,541.6625,246.0
12.0,7.0,15,0.5363900661468506,171.86149999999998,105.0
13.0,14.0,64,4.043489933013916,762.6565,896.0
14.0,8.0,58,1.629814624786377,351.896,464.0
15.0,11.0,28,0.6218280792236328,178.0385,308.0
16.0,12.0,62,1.6095256805419922,374.1815,744.0
17.0,7.0,57,1.7637825012207031,358.605,399.0
18.0,9.0,59,1.6089816093444824,386.995,531.0
19.0,11.0,61,1.8289794921875,350.17550000000006,671.0
20.0,13.0,30,0.7809758186340332,160.1555,390.0
21.0,6.0,17,0.4312582015991211,95.1895,102.0
22.0,13.0,63,1.7822012901306152,320.2255,819.0
23.0,7.0,57,1.7695345878601074,354.5865,399.0
24.0,7.0,57,1.5025856494903564,270.664,399.0
25.0,10.0,44,1.182016372680664,289.525,440.0
26.0,9.0,59,1.732177972793579,383.3475,531.0
27.0,8.0,25,0.55245041847229,168.39749999999998,200.0
28.0,10.0,60,1.7650833129882812,351.9005,600.0
29.0,10.0,58,1.5701425075531006,373.4515,580.0
30.0,14.0,40,0.9555318355560304,157.826,560.0
31.0,10.0,60,1.7712855339050293,383.565,600.0
32.0,9.0,16,0.2411434650421142,77.9525,144.0
33.0,13.0,54,1.2520995140075684,257.3995,702.0
34.0,7.0,32,0.9085738658905028,177.757,224.0
35.0,11.0,61,1.7709453105926514,348.155,671.0
36.0,16.0,33,0.5360524654388428,173.1905,528.0
37.0,9.0,52,1.4295995235443115,229.014,468.0
38.0,9.0,59,1.6935839653015137,354.8875,531.0
39.0,14.0,27,0.4161560535430908,95.529,378.0
40.0,9.0,47,1.1504437923431396,249.8365,423.0
41.0,7.0,57,1.794416904449463,331.3395,399.0
42.0,9.0,19,0.325087308883667,60.313,171.0
43.0,9.0,59,1.4725844860076904,261.5165,531.0
44.0,9.0,59,1.7319810390472412,358.501,531.0
45.0,25.0,75,1.649871826171875,367.601,1875.0
46.0,9.0,59,1.781266689300537,344.277,531.0
47.0,11.0,60,1.7415015697479248,383.4125,660.0
48.0,8.0,58,1.488236665725708,246.2315,464.0
49.0,7.0,57,1.7413628101348877,342.759,399.0
50.0,7.0,57,1.470442295074463,284.4585,399.0
51.0,10.0,22,0.5237421989440918,153.163,220.0
52.0,8.0,58,1.7348432540893557,352.32800000000003,464.0
53.0,8.0,58,1.5158250331878662,393.4625,464.0
54.0,9.0,20,0.4853360652923584,99.552,180.0
55.0,18.0,39,0.7852938175201416,199.723,702.0
56.0,16.0,38,0.6730637550354004,196.2965,608.0
57.0,8.0,58,1.4965813159942627,249.47250000000005,464.0
58.0,11.0,61,1.703754425048828,331.4785,671.0
59.0,7.0,16,0.313035249710083,102.1675,112.0
60.0,11.0,24,0.4115324020385742,76.627,264.0
61.0,10.0,29,0.5889871120452881,165.49349999999998,290.0
62.0,10.0,60,1.468757390975952,291.963,600.0
63.0,8.0,24,0.6008315086364746,136.7745,192.0
64.0,10.0,49,1.318854570388794,243.121,490.0
65.0,8.0,58,1.4736404418945312,238.307,464.0
66.0,12.0,62,1.7471880912780762,397.738,744.0
67.0,11.0,27,0.5096440315246582,180.4195,297.0
68.0,8.0,32,0.736853837966919,180.875,256.0
69.0,8.0,58,1.7410542964935305,367.366,464.0
70.0,8.0,58,1.6525132656097412,380.155,464.0
71.0,9.0,18,0.3177895545959472,98.38,162.0
72.0,11.0,25,0.5296087265014648,203.2385,275.0
73.0,4.0,54,1.7387583255767822,342.74,216.0
74.0,8.0,58,1.4780404567718506,267.0715,464.0
75.0,10.0,26,0.6280136108398438,185.2065,260.0
76.0,9.0,21,0.3856325149536133,78.4765,189.0
77.0,9.0,19,0.3272514343261719,96.474,171.0
78.0,12.0,62,1.6014246940612793,347.857,744.0
79.0,10.0,50,1.3925020694732666,260.3095,500.0
80.0,28.0,78,1.7423617839813232,358.9265,2184.0
81.0,16.0,66,1.4858484268188477,285.505,1056.0
82.0,24.0,26,0.2182178497314453,80.651,624.0
83.0,10.0,60,1.7748730182647705,353.5155,600.0
84.0,10.0,60,1.492253303527832,269.5075,600.0
85.0,11.0,61,1.7486140727996826,354.988,671.0
86.0,13.0,63,1.669162034988403,382.1675,819.0
87.0,10.0,60,1.7608184814453125,317.8355,600.0
88.0,10.0,60,1.740523099899292,367.049,600.0
89.0,10.0,48,1.3097496032714844,258.233,480.0
90.0,16.0,45,1.0539090633392334,284.8075,720.0
91.0,13.0,63,1.487313985824585,249.771,819.0
92.0,11.0,40,1.0308005809783936,258.744,440.0
93.0,9.0,59,1.7398114204406738,385.7190000000001,531.0
94.0,8.0,58,1.4832677841186523,228.8565,464.0
95.0,11.0,61,1.7509105205535889,334.746,671.0
96.0,8.0,17,0.3018684387207031,97.071,136.0
97.0,7.0,57,1.4782910346984863,255.9895,399.0
98.0,18.0,31,0.4175343513488769,95.229,558.0
99.0,6.0,9,0.1230192184448242,60.907,54.0
100.0,10.0,12,0.1538701057434082,99.8995,120.0
1.0,7.0,57,2.177153825759888,439.7325000000001,399.0
2.0,7.0,20,0.5763452053070068,181.844,140.0
3.0,7.0,57,3.0295584201812744,592.1445000000001,399.0
4.0,7.0,57,3.3438925743103027,634.4894999999999,399.0
5.0,12.0,62,3.817450523376465,751.7520000000001,744.0
6.0,7.0,33,1.066452980041504,274.3195,231.0
7.0,13.0,62,2.1261026859283447,463.189,806.0
8.0,20.0,70,3.4931581020355225,640.3800000000001,1400.0
9.0,9.0,59,1.875744342803955,390.684,531.0
10.0,9.0,20,0.5096640586853027,171.77949999999998,180.0
11.0,6.0,41,3.026874303817749,634.5235,246.0
12.0,7.0,15,0.6567120552062988,193.407,105.0
13.0,14.0,64,3.089014768600464,634.7465,896.0
14.0,8.0,58,3.5288162231445312,738.712,464.0
15.0,11.0,28,0.736339807510376,189.679,308.0
16.0,12.0,62,3.664191007614136,700.1415,744.0
17.0,7.0,57,3.3180911540985107,586.4979999999999,399.0
18.0,9.0,59,3.41353178024292,581.4599999999999,531.0
19.0,11.0,61,3.110438346862793,625.7379999999999,671.0
20.0,13.0,30,2.019145965576172,407.09350000000006,390.0
21.0,6.0,17,1.2236504554748535,248.675,102.0
22.0,13.0,63,3.224562168121338,636.4105,819.0
23.0,7.0,57,3.3184335231781006,591.6940000000001,399.0
24.0,7.0,57,2.313239097595215,463.1325,399.0
25.0,10.0,44,2.80188536643982,548.9055,440.0
26.0,9.0,59,1.7633261680603027,382.127,531.0
27.0,8.0,25,0.7421786785125732,166.6985,200.0
28.0,10.0,60,3.4276223182678223,658.7085000000001,600.0
29.0,10.0,58,3.4032912254333496,651.825,580.0
30.0,14.0,40,0.8018732070922852,156.8995,560.0
31.0,10.0,60,2.636927843093872,566.5785,600.0
32.0,9.0,16,0.2371444702148437,98.271,144.0
33.0,13.0,54,3.0502493381500244,603.8045,702.0
34.0,7.0,32,0.79107666015625,194.5805,224.0
35.0,11.0,61,2.75586199760437,536.844,671.0
36.0,16.0,33,1.0872840881347656,288.8145,528.0
37.0,9.0,52,2.333949565887451,413.3245,468.0
38.0,9.0,59,3.288208484649658,651.322,531.0
39.0,14.0,27,0.8900816440582275,157.666,378.0
40.0,9.0,47,1.9528226852416992,358.439,423.0
41.0,7.0,57,1.921247482299805,326.605,399.0
42.0,9.0,19,0.3606326580047607,96.285,171.0
43.0,9.0,59,3.149512529373169,612.4545,531.0
44.0,9.0,59,2.2892987728118896,376.6665,531.0
45.0,25.0,75,4.361856937408447,852.9445,1875.0
46.0,9.0,59,3.655806303024292,773.6255,531.0
47.0,11.0,60,3.262042999267578,630.811,660.0
48.0,8.0,58,3.180157423019409,550.194,464.0
49.0,7.0,57,2.414401769638061,482.276,399.0
50.0,7.0,57,3.387819766998291,639.4475,399.0
51.0,10.0,22,1.7533810138702393,353.175,220.0
52.0,8.0,58,3.0112967491149902,532.9295,464.0
53.0,8.0,58,2.3163862228393555,442.5565,464.0
54.0,9.0,20,0.3508830070495605,99.3065,180.0
55.0,18.0,39,1.8603520393371584,300.0665,702.0
56.0,16.0,38,1.6789844036102295,339.604,608.0
57.0,8.0,58,3.406698703765869,582.5055,464.0
58.0,11.0,61,3.3000590801239014,575.3599999999999,671.0
59.0,7.0,16,0.4257967472076416,72.9995,112.0
60.0,11.0,24,1.702054500579834,360.5595,264.0
61.0,10.0,29,1.7236945629119873,350.2075,290.0
62.0,10.0,60,3.448341131210327,636.0730000000001,600.0
63.0,8.0,24,1.933156967163086,386.817,192.0
64.0,10.0,49,2.4212632179260254,385.765,490.0
65.0,8.0,58,2.0340728759765625,435.465,464.0
66.0,12.0,62,3.277206897735596,572.879,744.0
67.0,11.0,27,0.5362751483917236,200.993,297.0
68.0,8.0,32,2.200870513916016,413.5515,256.0
69.0,8.0,58,3.544447422027588,722.687,464.0
70.0,8.0,58,3.5709264278411865,719.5285,464.0
71.0,9.0,18,0.5836901664733887,150.938,162.0
72.0,11.0,25,1.7802605628967283,386.9015,275.0
73.0,4.0,54,3.567272901535034,737.5034999999999,216.0
