input_tokens_z,output_tokens_z,runtime_z,energy_z,accuracy
-1.3090853312919846,-0.7589572119105528,-0.9343385197808157,-0.686956877371522,0.723
-1.3090853312919846,-0.7589572119105528,-1.0526259529858035,-0.4285232694398062,0.723
-1.3090853312919846,-0.7589572119105528,-0.9630190375942519,-0.4226876718413477,0.723
-1.3090853312919846,-0.7589572119105528,-0.9941680984002779,-1.3207678642072642,0.723
-0.16702212472531652,0.05432017818736881,-1.049161252607643,-0.45684531034355264,0.723
-1.3090853312919846,-0.7589572119105528,-0.2981525222384424,1.0739670188819201,0.723
-1.3090853312919846,-0.7589572119105528,-0.9271928553851075,-0.6050445242209724,0.723
-1.3090853312919846,-0.7589572119105528,-0.8559412696974964,0.05884943633088482,0.723
-1.3090853312919846,-0.7589572119105528,-0.9204718745092321,-0.5795221435860052,0.723
-0.16702212472531652,0.05432017818736881,-0.9419361340964864,-0.9426309475542349,0.723
-1.3090853312919846,-0.7589572119105528,-0.9599917201551628,-0.45507100335792505,0.723
0.06139051658801707,0.21697565620695314,-1.045707010574738,-0.6696952777525537,0.723
2.1171042884080196,1.680874958383212,-0.9850215284498256,-0.515330570002966,0.723
-0.8522600486653172,-0.43364625587138417,-0.980113016157933,-0.4147122065215299,0.723
-0.39543476603865013,-0.10833529983221551,-1.0242152978311883,-0.6346059051800069,0.723
-1.080672689978651,-0.5963017338909685,-0.8631494974085715,-0.3521210756717579,0.723
-1.3090853312919846,-0.7589572119105528,-0.8838387189099394,0.3798830912278786,0.723
0.5182157992146842,0.5422866122461217,-0.8846964899770422,-0.0003981512042631524,0.723
-0.8522600486653172,-0.43364625587138417,-0.8444673444154016,-0.014681768244339156,0.723
-0.16702212472531652,0.05432017818736881,-0.9537802100981544,-0.69389361523493,0.723
0.06139051658801707,0.21697565620695314,-0.8566656968625936,0.4055258394221731,0.723
-1.080672689978651,-0.5963017338909685,-0.8921615074153686,0.22491208762390583,0.723
-0.6238474073519837,-0.2709907778517998,-0.7890651942060865,-0.1528815585821553,0.723
-0.39543476603865013,-0.10833529983221551,-0.7512298891709259,-0.05138049966565846,0.723
0.28980315790135064,0.37963113422653744,-0.7592310835597536,0.22046740404433124,0.723
-1.537497972605318,-0.9216126899301371,-0.7416765642925072,-0.2721078551239153,0.723
0.7466284405280178,0.7049420902657061,-0.9261242366074105,-0.437804945681204,0.723
-1.3090853312919846,-0.7589572119105528,-0.8896625231678393,0.24150943663770208,0.723
-1.080672689978651,-0.5963017338909685,-0.9293222491815599,-0.4237397734710167,0.723
-0.6238474073519837,-0.2709907778517998,-0.8135233418788461,0.12332186755235242,0.723
-0.39543476603865013,-0.10833529983221551,-0.8319722364215889,0.12093680665458702,0.723
-0.8522600486653172,-0.43364625587138417,-0.9320231168437504,-0.5995477390117299,0.723
-0.6238474073519837,-0.2709907778517998,-0.9799800457682579,-0.41897856779099085,0.723
-0.6238474073519837,-0.2709907778517998,-1.0026021935802103,-0.42496128129529237,0.723
0.5182157992146842,0.5422866122461217,-1.0371901824135892,-0.8432875885901093,0.723
-0.16702212472531652,0.05432017818736881,-0.9560476167007442,-0.416633629413001,0.723
-0.6238474073519837,-5.801277030517666,-1.721837910795205,-2.244254527706574,0.723
0.28980315790135064,0.37963113422653744,-0.9093154347081026,-0.5832178734631033,0.723
-0.8522600486653172,-0.43364625587138417,-0.8914568764037903,-0.23925196948553765,0.723
-0.39543476603865013,-0.10833529983221551,-0.8943347889106604,0.2836737468639943,0.723
0.9750410818413514,-2.873478426165149,-1.445069195738825,-1.516904573100895,0.723
-0.6238474073519837,-0.2709907778517998,-0.9638420720146138,-0.87555055254736,0.723
-0.8522600486653172,-0.43364625587138417,-0.8899906537502251,0.017848679178081743,0.723
0.5182157992146842,0.5422866122461217,-0.9044474485040743,-0.01883222001222665,0.723
-0.6238474073519837,-0.2709907778517998,-0.9644346493270277,-0.39166404793938464,0.723
-1.080672689978651,-0.5963017338909685,-1.0387105643550836,-0.5734547269843993,0.723
-0.6238474073519837,-0.2709907778517998,-0.9373830187871101,-0.5475132889206655,0.723
-0.6238474073519837,-0.2709907778517998,-0.935474184021846,-0.4168520742428897,0.723
-0.8522600486653172,-0.43364625587138417,-1.0378161890795872,-0.8723987057161072,0.723
2.5739295710346863,2.006185914422381,-0.8923886029123417,-0.0038397717894497656,0.723
-0.8522600486653172,-0.43364625587138417,-0.9725120402312871,-0.6652283038842154,0.723
-0.39543476603865013,-0.10833529983221551,-0.9449391732340902,-0.9055131587041491,0.723
-1.080672689978651,-0.5963017338909685,-0.8928409263446349,0.14690053500708491,0.723
-1.3090853312919846,-0.7589572119105528,-0.8530052760232262,0.4370888883122288,0.723
-1.080672689978651,-0.5963017338909685,-0.8868088889624547,0.014094994550196612,0.723
-0.39543476603865013,-0.10833529983221551,-0.9867520110772532,-0.49276833971587913,0.723
-0.8522600486653172,-0.43364625587138417,-0.7965416037704948,-0.22864625009154838,0.723
-0.6238474073519837,-0.2709907778517998,-0.8559435107714797,0.18722812543920994,0.723
-0.6238474073519837,-0.2709907778517998,-0.9453027874878783,-0.7364324023124604,0.723
1.4318663644680185,1.192908524324459,-0.8465463140472299,-0.09642025714252832,0.723
0.9750410818413514,0.8675975682852904,-0.9755656902896799,-0.6481628588063711,0.723
-0.8522600486653172,-0.43364625587138417,-0.982463716010235,-0.5384233091626395,0.723
-0.39543476603865013,-0.10833529983221551,-0.833175879906779,0.38455067769509516,0.723
-1.3090853312919846,-0.7589572119105528,-0.7868982624204139,0.37397170664762225,0.723
